,ticker,security,outlook,rating,use,trust,upward_trend,outlook_date,revenue,rev_change_percent,profit ,profit_change_percent,assets,market_value,sector_y,industry_y,webscrape_date,net_income,ft_employee,div_yield,three_year,five_year,ten_year,alcohol,adult,gambling,tobacco,controversial_weapons,small_arms,military_contracting,coal,net_per_emp
0,012330.KS,Hyundai Mobis,,,,,,,,,,,,,Consumer Cyclical,Auto Parts,9/12/20,,,1.77,,,,,,,,,,,,
1,161390.KS,Hankook Tire and Tech,,,,,,,,,,,,,Consumer Cyclical,Auto Parts,9/12/20,,,1.78,,,,,,,,,,,,
2,2020:HK,Anta Sports Products Ltd,,,,,,,,,,,,,,,9/12/20,,,,,,,,,,,,,,,
3,2502.T,Asahi Group Holdings,,,,,,,,,,,,,Consumer Defensive,Beverages—Brewers,9/12/20,,29327.0,2.79,,,,,,,,,,,,
4,2587.T,Suntory Beverage and Food Limited,,,,,,,,,,,,,Consumer Defensive,Beverages—Brewers,9/12/20,,24213.0,1.96,,,,,,,,,,,,
5,3382.T,Seven and I Holdings,,,,,,,,,,,,,Consumer Defensive,Grocery Stores,9/12/20,,57270.0,2.89,,,,,,,,,,,,
6,4503.T,Astellas Pharma Inc,,,,,,,,,,,,,Healthcare,Drug Manufacturers—General,9/12/20,,15883.0,2.59,,,,,,,,,,,,
7,4543.T,Terumo Corp,,,,,,,,,,,,,Healthcare,Medical Instruments & Supplies,9/12/20,,26438.0,0.63,,,,,,,,,,,,
8,4901.T,Fujifilm Holdings Corp,,,,,,,,,,,,,Industrials,Business Equipment & Supplies,9/12/20,,73906.0,1.89,,,,,,,,,,,,
9,5108.T,Bridgestone Corp,,,,,,,,,,,,,Consumer Cyclical,Auto Parts,9/12/20,,143589.0,2.86,,,,,,,,,,,,
10,600276.SS,Jiangsu Hengrui Medicine,,,,,,,,,,,,,Healthcare,Drug Manufacturers—General,9/12/20,,24431.0,0.21,,,,,,,,,,,,
11,6471.T,NSK Ltd,,,,,,,,,,,,,Consumer Cyclical,Auto Parts,9/12/20,,30747.0,2.24,,,,,,,,,,,,
12,6594:JP,Nidec Corp,,,,,,,,,,,,,,,9/12/20,,,,,,,,,,,,,,,
13,6861:JP,Keyence Corp,,,,,,,,,,,,,,,9/12/20,,,,,,,,,,,,,,,
14,6902.T,Denso Corp,,,,,,,,,,,,,Consumer Cyclical,Auto Parts,9/12/20,,170932.0,3.09,,,,,,,,,,,,
15,6988.T,Nitto Denko Corp,,,,,,,,,,,,,Basic Materials,Specialty Chemicals,9/12/20,,25793.0,3.02,,,,,,,,,,,,
16,7751.T,Canon Inc,,,,,,,,,,,,,Technology,Computer Hardware,9/12/20,,187041.0,4.55,,,,,,,,,,,,
