ticker,security,,,outlook,rating,use,trust,upward_trend,outlook_date,revenue,rev_change_percent,profit ,profit_change_percent,assets,market_value,sector_y,industry_y,webscrape_date,net_income,ft_employee,proft/employee,div_yield,three_year,five_year,ten_year,,rd,peg,profit_margin,roa,roe
ISRG,Intuitive Surgical,,,94,,1,0,yes,8/4/18,,,,,,,Healthcare,Medical Instruments & Supplies,11/3/20,1053,,#DIV/0!,,21.19,32.09,22.51,,602,4.7,24.45,10.67,12.38
ABBV,AbbVie,,,66,,,0,yes,8/4/18,32753000000,0.161,5687000000,0.071,59352000000,1.19E+11,Healthcare,Drug Manufacturers—General,11/2/20,6957,30000,231900,5.55,2.68,11.48,,,7780,0,19.06,6.68,224.88
ABR,"Arbor Realty Trust, Inc.",,,58,,1,0,no,8/4/18,,,,,,,Real Estate,REIT—Mortgage,11/2/20,,532,0,10.49,22.47,21.41,13.15,,,0,28.08,1.69,10.02
AAL,American Airlines Group,,,61,,0,0,,8/4/18,44541000000,0.055,1412000000,-0.264,60580000000,14262000000,Industrials,Airlines,11/2/20,,110500,,0,-35.99,-22.31,-4.32,,,0,,,
AMGN,Amgen,,,59,,,0,,8/4/18,23747000000,0.039,8394000000,3.242,66416000000,1.18E+11,Healthcare,Drug Manufacturers - Major,11/2/20,7352,21500,341953.4884,2.88,11.23,8.63,16.06,,4290,1.5,29.42,11.84,67.18
KLAC,KLA-Tencor,236.1,-5%,76,3.9,1,0,maybe,8/4/18,,,,,,,Technology,Semiconductor Equipment & Materials,11/3/20,1291,10600,121792.45,1.75,25.72,26.51,20.95,24.39333333,872,2.1,21.76,13.92,47.73
ZTS,Zoetis,,,52,,1,0,,8/4/18,5825000000,0.098,1428000000,0.653,10777000000,48198000000,Healthcare,Drug Manufacturers - Specialty & Generic,11/3/20,1617,10000,161700,0.5,34.82,30.23,,,462,4.5,25.5,13.44,59.97
LII,Lennox International,,,70,,1,0,,8/4/18,,,,,,,Industrials,Diversified Industrials,11/3/20,,,#DIV/0!,1.13,15.41,17.04,22.17,,,4.4,,,
BYND,Beyond Meat,,,,,1,0,maybe,,,,,,,,Consumer Defensive,Packaged Foods,11/2/20,,,,,,,,,,2.1,-1.18,-1.04,-1.31
CAT,Caterpillar,,,41,,,0,,8/4/18,54722000000,0.204,6147000000,7.153,78509000000,77980300000,Industrials,Farm & Construction Equipment,11/2/20,4142,104000,39826.92308,2.62,8.53,19.43,9.19,,1514,8,8.9,5.32,28.99
CL,Colgate-Palmolive,,,58,,0,0,,8/4/18,15544000000,0.006,2400000000,0.186,12161000000,58931400000,Consumer Defensive,Household & Personal Products,11/2/20,,34500,0,2.22,6.33,5.55,9.31,,,4.1,,,
PG,Procter & Gamble,,,75,4.2,0,0,yes,11/3/20,66832000000,0.009,9750000000,-0.364,1.18E+11,2.60E+11,Consumer Defensive,Household & Personal Products,11/3/20,,92000,0,2.27,19.44,14.81,9.9,14.71666667,,4.7,18.56,11.5,28.93
COST,Costco,,,71,4.1,0,0,yes,11/13/20,1.42E+11,0.097,3134000000,0.17,40830000000,1.07E+11,Consumer Defensive,Discount Stores,11/2/20,,194000,0,0.77,31.18,19.2,20.19,23.52333333,,4.3,2.4,7.93,23.87
MED,"Medifast, Inc.",,,37,3,,,no,9/8/19,,,,,,,Consumer Cyclical,Specialty Retail,11/3/20,,,#DIV/0!,3.22,36.03,39.95,20.76,,,0,10.04,34.27,62.77
CSCO,Cisco Systems,,,64,,0,0,,8/4/18,49330000000,0.028,110000000,-0.989,1.09E+11,2.38E+11,Technology,Communication Equipment,11/2/20,11214,74200,151132.0755,3.98,5.05,7.75,6.75,,6347,2.3,22.75,11.64,31.37
NVDA,Nvidia,,,87,4.8,0,0,yes,11/3/20,11716000000,0.206,4141000000,0.359,13292000000,1.09E+11,Technology,Semiconductors,11/3/20,3388,13277,255178.1276,0.13,34.86,77.53,45.07,52.48666667,3182,3.1,25.93,16.96,27.94
GRMN,Garmin Ltd.,115.63,-1%,82,4.1,1,0,maybe,8/4/18,,,,,,,Technology,Scientific & Technical Instruments,11/2/20,1020,15000,68000.00,2.27,25.57,27.4,14.62,22.53,668,3.2,25.89,16.57,21.5
TTWO,Take-Two Interactive Software,,,,,1,0,,8/4/18,,,,,,,Technology,Electronic Gaming & Multimedia,11/3/20,447,,#DIV/0!,,12.39,35.56,30.07,,301,4.1,13.22,9.18,18.86
EXPE,Expedia,,,73,,0,0,yes,8/4/18,11223000000,0.116,406000000,0.074,18033000000,17515600000,Consumer Cyclical,Leisure,11/2/20,,24500,,0.72,-7.45,-5.88,8.75,,,8.9,-17.28,-7.11,-51.65
FDX,FedEx,,,62,,0,0,,8/4/18,65450000000,0.085,4572000000,0.526,52330000000,47270800000,Industrials,Integrated Shipping & Logistics,11/2/20,,359000,0,,6.8,11.8,12.43,,,1.2,2.49,2.44,9.48
GILD,Gilead Sciences,,,58,,1,0,,8/4/18,22127000000,-0.152,5455000000,0.179,63675000000,82881000000,Healthcare,Drug Manufacturers - Major,11/2/20,,11000,,4.59,-3.71,-8.65,13.35,,,0.4,-1.16,-0.43,-1.26
ETSY,Etsy,,,60,3.8,,,,11/3/20,,,,,,,,,11/2/20,232,,#DIV/0!,,97.15,63.9,,,165,2.8,16.83,12.49,43.94
GSK,GlaxoSmithKline,,,,,,,,,,,,,,,,,11/2/20,6371,,#DIV/0!,6.08,4.16,1.04,3.85,,4871,10.7,18.6,7.76,48.9
HON,Honeywell International,,,39,,1,0,,8/4/18,41802000000,0.031,6765000000,3.088,57773000000,1.16E+11,Industrials,Diversified Industrials,11/3/20,,114000,0,2.18,9.03,13.24,15.66,,,2.5,14.99,8.06,27.54
HSY,Hershey,,,45,,0,0,,8/4/18,7791100000,0.037,1177600000,0.504,7703000000,23944300000,Consumer Defensive,Confectioners,11/3/20,,15675,0,2.27,,,,,,4.2,13.5,12.84,62.56
IBM,International Business Machines,,,41,,1,0,,8/4/18,79591000000,0.006,8728000000,0.517,1.23E+11,1.26E+11,Technology,Information Technology Services,11/3/20,7905,381100,20742.58725,5.82,-4.89,0.39,1.17,,6318,7.5,10.54,5.21,40.37
NEE,NextEra Energy,,,71,,1,0,yes,8/4/18,16727000000,-0.027,6638000000,0.234,1.04E+11,92439300000,Utilities,Utilities - Regulated Electric,11/3/20,,14300,0,1.86,28.12,25.82,19.95,24.63,,0,21.43,3.24,10.56
INCY,Incyte Corporation,,,,,,,,,,,,,,,,,11/3/20,,,,,,,,,,0.7,-8,-6.2,-8.32
INO,"Inovio Pharmaceuticals, Inc.",,,,,,,,,,,,,,,Healthcare,Biotechnology,11/3/20,,,#DIV/0!,,20.34,8.51,8.19,,,0,,,
LNT,Alliant Energy,,,71,,1,0,,8/4/18,,,,,,,Utilities,Utilities - Regulated Electric,11/3/20,,,#DIV/0!,,12.29,16.32,13.94,,,3.8,18.09,3.84,12.53
AEMD,Aethlon Medical,,,,,,,,,,,,,,,,,11/2/20,,,,,-55.08,-59.56,-39.93,,,0,-932.51,-70.8,-83.52
JMIA,Jumia Technologies,,,,,,,,,,,,,,,,,11/3/20,,,,,,,,,,0,-126.18,-61.97,-99.5
JNJ,Johnson & Johnson,,,70,,0,0,,8/4/18,81581000000,0.067,15297000000,10.767,1.53E+11,3.72E+11,Healthcare,Drug Manufacturers - Major,11/3/20,,135100,0,2.86,2.3,8.86,10.21,,,2.6,21.01,10.41,27.69
AMZN,Amazon.com,3128.81,18%,71,3.9,0,0,yes,11/5/20,2.33E+11,0.309,10073000000,2.321,1.63E+11,8.75E+11,Consumer Cyclical,Specialty Retail,11/2/20,17377,647500,26837.07,,40.03,36.75,33.7,36.82666667,40431,1.2,4.99,7.22,24.95
JWN,Nordstrom,,,51,,1,0,,8/4/18,15860000000,0.025,564000000,0.291,7886000000,6879000000,Consumer Cyclical,Department Stores,11/3/20,,74000,,6.12,,,,,,0,-3.75,-4.69,-97.96
KO,Coca-Cola,,,48,,0,0,maybe,8/4/18,31856000000,-0.1,6434000000,4.155,83216000000,2.00E+11,Consumer Defensive,Beverages - Soft Drinks,11/3/20,,62600,0,3.39,5.18,5.88,7.15,,,4.2,24.9,9.03,44.66
LB,L Brands,,,60,,1,0,,8/4/18,13236900000,0.048,643900000,-0.345,8090200000,7589900000,Consumer Cyclical,Apparel Stores,11/3/20,,57200,0,1.87,-7.3,-14.44,7.8,,,0,,,
VEEV,Veeva Systems Inc,,,,,,,,,,,,,,,,,11/3/20,329,,#DIV/0!,,63.84,59.74,,,246,3.8,25.6,15.02,19.32
LVGO,Livongo Health,,,,,,,,,,,,,,,,,11/3/20,,,,,,,,,,3,-13.59,-5.72,-14.96
AHPI,Allied Healthcare,,,,,,,,,,,,,,,,,11/2/20,,,,,30.37,13.91,-4.53,,,0,-9.45,-17.16,-29.03
MRK,Merck,,,48,,1,0,,8/4/18,42294000000,0.054,6220000000,1.598,82637000000,2.15E+11,Healthcare,Drug Manufacturers - Major,11/3/20,10479,69000,151869.5652,3.24,14.57,9.56,10.06,,10084,1.2,22.2,12,37.91
PAYC,Paycom Software,,,,,,,,,,,,,,,,,11/3/20,176,,#DIV/0!,,65.69,56.04,,,81,3.7,22.23,9.4,34.51
TIF,Tiffany,,,46,,1,0,,8/4/18,,,,,,,Consumer Cyclical,Luxury Goods,11/3/20,,,#DIV/0!,1.77,13.95,11.29,10.57,,,4.9,6.72,3.75,7.74
