ticker,security,rec,,yahoo diagram,outlook,rating,use,trust,upward_trend,outlook_date,sector,industry,webscrape_date,net_income,ft_employee,div_yield,one_year,three_year,five_year,ten_year,fifteen_year,avg,rd,peg,profit_margin,roa,roe
A,Agilent Technologies,,,,79,,1,0,,8/4/18,Healthcare,Diagnostics & Research,12/24/20,719,16400,0.62,38.42,20.94,23.52,12.74,9.58,,495,3,13.47,7.54,14.95
AA,Alcoa,,,,,,1,0,,,Basic Materials,Aluminum,12/29/20,,,,3.06,-25.66,—,—,—,,,0,-5.03,-3.24,-11.82
TDG,TransDigm Group,,,,10,1.8,1,0,maybe,9/8/19,Industrials,Aerospace & Defense,1/1/21,699,nan,—,10.51,35.38,26.06,27.02,—,,—,7,nan,nan,nan
AAL,American Airlines Group,,,,61,,0,0,,8/4/18,Industrials,Airlines,12/24/20,,110500,1.42,-45.43,-31.65,-16.48,-1.35,-7.66,,,0,,,
CSX,CSX,,,,23,,1,0,,8/4/18,Industrials,Railroads,12/27/20,,,1.15,24.82,19.11,29.3,16.44,17.73,,,3.2,26.08,7.1,22.59
AAP,Advance Auto Parts,,,,34,,1,0,,8/4/18,Consumer Cyclical,Specialty Retail,12/24/20,,39000,0.55,0.2,16.93,1.58,9.33,9.3,,,1.1,4.84,4.13,13.22
AME,Ametek,,,,25,,1,0,,8/4/18,Industrials,Diversified Industrials,12/24/20,,18100,0.57,19.17,18.39,17.47,16.64,16.35,,,2.8,18.77,8.88,16.5
AB,AllianceBernstein,,,,,,,,,,Financial Services,Asset Management,12/24/20,,3811,8.75,20.17,17.66,12.69,8.64,1.19,,,3.1,90.27,18.04,18.04
ABBV,AbbVie,,,,66,,,0,yes,8/4/18,Healthcare,Drug Manufacturers‚ÄîGeneral,12/24/20,7381,47000,4.51,19.67,5.67,15.56,—,—,,7246,0,18.02,7.01,207.95
ABC,AmerisourceBergen,,,,49,,,0,,8/4/18,Healthcare,Medical Distribution,12/24/20,,21000,1.65,15.58,3.35,0.19,12.23,11.9,,,3.2,-1.8,-8.17,-366.53
WTS,Watts Water Tech,,,,30,,1,0,,8/4/18,Industrials,Diversified Industrials,12/29/20,,,,23.07,17.42,19.87,13.23,10.11,,,4.1,7.76,6.87,11.89
ABM,ABM Industries,,,,,,,,,,Industrials,Specialty Business Services,12/24/20,,114000,1.92,3.18,1.82,7.36,5.34,5.91,,,0,0.01,0.01,0.02
FMC,FMC,,,,33,,1,0,,8/4/18,Basic Materials,Agricultural Inputs,12/27/20,499,,1.52,15.13,10.55,26.28,12.78,16.58,,280,1.5,10.61,5.08,17.79
KSU,Kansas City Southern,,,,33,,1,0,,8/4/18,Industrials,Railroads,12/28/20,,,0.86,31.36,23.58,22.9,15.99,15.34,,,2.7,21.67,5.76,12.39
ABR,"Arbor Realty Trust, Inc.",,,,58,,1,0,,8/4/18,Real Estate,REIT‚ÄîMortgage,12/24/20,,532,9.23,6.75,26.79,21.63,13.64,0.36,,,0,28.08,1.69,10.02
ABS,Albertsons,,,,,,,,no,,,,,,,,,,,,,,,,,,
ABT,Abbott Laboratories,,,,58,,1,0,,8/4/18,Healthcare,Medical Devices,12/24/20,3382,107000,1.33,24.66,25.04,20.25,12.35,9.54,,2317,3.4,10.5,4.92,10.7
ACB,Aurora Cannabis Inc.,,,,,,,,,,Healthcare,Drug Manufacturers‚ÄîSpecialty & Generic,1/1/21,-3402,nan,—,-67.94,-55.06,10.55,—,—,,23,0,nan,nan,nan
ACIW,ACI Worldwide,,,,,,,,,,Technology,Software - Infrastructure,1/1/21,61,nan,—,1.44,19.24,12.42,15.68,9.69,,143,0,4.67,1.88,5.59
ACM,AECOM,,,,44,3.2,,,,9/8/19,Industrials,Engineering & Construction,1/1/21,-186,nan,—,15.42,10.25,10.64,5.93,—,,—,0.8,-1.41,-1.36,-5.34
SWKS,Skyworks Solutions,,,,36,3.2,1,0,maybe,9/8/19,Technology,Semiconductors,12/28/20,815,,1.33,25.32,17.17,14.84,18.84,25.5,,464,1.3,24.28,16.38,19.67
FIVE,Five Below,,,,36,3,1,0,yes,9/8/19,Consumer Cyclical,Specialty Retail,1/1/21,110,nan,—,36.85,38.18,40.38,—,—,,—,1.9,6.13,5.48,15.74
SPCE,Virgin Galactic,,,,70,3.8,,,too early,11/3/20,,,1/1/21,-415,nan,—,105.45,32.98,—,—,—,,—,0,nan,nan,nan
