,ticker,security,outlook,rating,use,trust,upward_trend,outlook_date,sector_x,industry_x,sector_y,industry_y,webscrape_date,net_income,ft_employee,div_yield,one_year,three_year,five_year,ten_year,fifteen_year,rd,peg,profit_margin,roa,roe
0,AAL.L,Anglo American plc,,,,,,,Basic Materials,Other Industrial Metals & Mining,,,,,,,,,,,,,,,,
1,ABG,Asbury Automotive Group,60.0,3.8,1,0,maybe,9/8/19,Consumer Cyclical,Auto & Truck Dealerships,,,,,,,,,,,,,,,,
2,ABMD,Abiomed Inc,,,,,,,Healthcare,Medical Devices,,,,,,,,,,,,,,,,
3,ABNB,Airbnb,,,,,,,,,,,,,,,,,,,,,,,,
4,ACB,Aurora Cannabis Inc.,,,,,,,Healthcare,Drug Manufacturers—Specialty & Generic,,,,,,,,,,,,,,,,
5,ACIW,ACI Worldwide,,,,,,,Technology,Software - Infrastructure,,,,,,,,,,,,,,,,
6,ACM,AECOM,44.0,3.2,,,,9/8/19,Industrials,Engineering & Construction,,,,,,,,,,,,,,,,
7,ADANIPORTS.NS,Adani Ports and Special Economic Zone Limited,,,,,,,Industrials,Marine Shipping,,,,,,,,,,,,,,,,
8,ADBE,Adobe Systems,87.0,4.3,0,0,yes,11/3/20,Technology,Software - Infrastructure,,,,,,,,,,,,,,,,
9,ADSK,Autodesk,64.0,,f,0,yes,8/4/18,Technology,Software - Application,,,,,,,,,,,,,,,,
10,ADYEY,Adyen,,,,,,,Technology,Software - Infrastructure,,,,,,,,,,,,,,,,
11,AGN,"Allergan, Plc",46.0,,1,0,,8/4/18,Healthcare,Drug Manufacturers - Specialty & Generic,,,,,,,,,,,,,,,,
12,AKAM,Akamai Technologies,51.0,,,0,,8/4/18,Technology,Software - Application,,,,,,,,,,,,,,,,
13,AKS,AK Steel Holding,,,,,,,Basic Materials,Steel,,,,,,,,,,,,,,,,
14,ALGN,AlignTech (Invisalign),84.0,4.4,0,0,yes,11/3/20,Healthcare,Medical Devices,,,,,,,,,,,,,,,,
15,ALXN,Alexion Pharmaceuticals,33.0,,1,0,,8/4/18,Healthcare,Biotechnology,,,,,,,,,,,,,,,,
16,AMTD,TD Ameritrade Holding,57.0,,0,0,maybe,8/4/18,Financial Services,Capital Markets,,,,,,,,,,,,,,,,
17,AMWL,Amwell,,,,,,,,,,,,,,,,,,,,,,,,
18,AMZN,Amazon.com,71.0,3.9,0,0,yes,11/5/20,Consumer Cyclical,Specialty Retail,,,,,,,,,,,,,,,,
19,ANTHM,Anthem,,,,,,,,,,,,,,,,,,,,,,,,
20,ARAY,Accuray Incorporated,,,,,,,Healthcare,Medical Devices,,,,,,,,,,,,,,,,
21,ARNC,Arconic,36.0,,1,0,,8/4/18,Industrials,Diversified Industrials,,,,,,,,,,,,,,,,
22,ARRY,Array BioPharma Inc.,,,,,too early,,,,,,,,,,,,,,,,,,,
23,ASNA,Ascena Retail Group,,,,,,,Consumer Cyclical,Apparel Stores,,,,,,,,,,,,,,,,
24,AXE,Anixter International,,,,,,,Industrials,Industrial Distribution,,,,,,,,,,,,,,,,
25,AXL,American Axle & Manufacturing,,,,,,,Consumer Cyclical,Auto Parts,,,,,,,,,,,,,,,,
26,AZO,AutoZone,42.0,,1,0,,8/4/18,Consumer Cyclical,Specialty Retail,,,,,,,,,,,,,,,,
27,BABA,Alibaba,68.0,3.9,1,1,maybe,11/3/20,Consumer Cyclical,Specialty Retail,,,,,,,,,,,,,,,,
28,BECN,Beacon Roofing Supply,,,,,,,Basic Materials,Building Materials,,,,,,,,,,,,,,,,
29,BERY,Berry Global Group,,,,,,,Consumer Cyclical,Packaging & Containers,,,,,,,,,,,,,,,,
30,BF-B,Brown-Forman,83.0,,1,0,yes,8/4/18,Consumer Defensive,Beverages - Wineries & Distilleries,,,,,,,,,,,,,,,,
31,BILI,Bilibili Inc,,,,,maybe,,,,,,,,,,,,,,,,,,,
32,BITA,Bitauto Holdings Limited,,,,,,,Consumer Cyclical,Advertising Agencies,,,,,,,,,,,,,,,,
33,BKI,Black Knight,,,1,0,,8/4/18,Technology,Software - Infrastructure,,,,,,,,,,,,,,,,
34,BKNG,Booking Holdings,,,,,,,Consumer Cyclical,Leisure,,,,,,,,,,,,,,,,
35,BKS,Barnes & Noble,27.0,,0,0,,8/4/18,Consumer Cyclical,Specialty Retail,,,,,,,,,,,,,,,,
36,BL,Blackline,,,,,,,,,,,,,,,,,,,,,,,,
37,BLDP,Ballard Power Systems,,,,,,,,,,,,,,,,,,,,,,,,
38,BLDR,Builders FirstSource,,,,,,,Basic Materials,Building Materials,,,,,,,,,,,,,,,,
39,BPTH,Bio-Path,,,,,,,,,,,,,,,,,,,,,,,,
40,BRK.A,Berkshire Hathaway,44.0,3.1,1,0,yes,9/8/19,Financial Services,Insurance - Diversified,,,,,,,,,,,,,,,,
41,BURL,Burlington Stores,,,,,maybe,,Consumer Defensive,Discount Stores,,,,,,,,,,,,,,,,
42,BZUN,Baozun Inc.,,,,,,,Consumer Cyclical,Specialty Retail,,,,,,,,,,,,,,,,
43,CA,CA Technologies Inc,40.0,,1,0,,8/4/18,Information Technology,Systems Software,,,,,,,,,,,,,,,,
44,CACC,Credit Acceptance,64.0,3.8,1,0,yes,9/8/19,Financial Services,Credit Services,,,,,,,,,,,,,,,,
45,CATX,Credit Acceptance Corp,,,,,,,,,,,,,,,,,,,,,,,,
46,CBS,CBS,52.0,,0,0,,8/4/18,Consumer Cyclical,Media - Diversified,,,,,,,,,,,,,,,,
47,CCK,Crown Holdings,57.0,,1,0,,8/4/18,Consumer Cyclical,Packaging & Containers,,,,,,,,,,,,,,,,
48,CELG,Celgene,69.0,,1,0,,8/4/18,Healthcare,Drug Manufacturers - Major,,,,,,,,,,,,,,,,
49,CGROU,Collective Growth Corp,,,,,,,,,,,,,,,,,,,,,,,,
50,CODX,Co-Diagnostics,,,,,,,,,,,,,,,,,,,,,,,,
51,COMP,NASDAQ Composite Index,,,,,,,,,,,,,,,,,,,,,,,,
52,CPRT,Copart Inc,,,,,,,,,,,,,,,,,,,,,,,,
53,CRM,salesforce.com,84.0,,0,0,yes,8/4/18,Technology,Software - Application,,,,,,,,,,,,,,,,
54,CRWD,"CrowdStrike Holdings, Inc.",,,,,,,Technology,Software - Infrastructure,,,,,,,,,,,,,,,,
55,CSGP,CoStar Group,,,,,,,,,,,,,,,,,,,,,,,,
56,CYH,Community Health Systems,,,,,,,Healthcare,Medical Care,,,,,,,,,,,,,,,,
57,CYOU,Changyou.com Limited,,,1,0,,8/4/18,Technology,Electronic Gaming & Multimedia,,,,,,,,,,,,,,,,
58,DASH,DoorDash,,,,,too early,,,,,,,,,,,,,,,,,,,
59,DDOG,Datadog,,,,,yes,,,,,,,,,,,,,,,,,,,
60,DF,Dean Foods,,,,,,,Consumer Defensive,Packaged Foods,,,,,,,,,,,,,,,,
61,DHXM,DHX Media,,,,,,,,,,,,,,,,,,,,,,,,
62,DISCK,Discovery,,,,,,,Consumer Cyclical,Media - Diversified,,,,,,,,,,,,,,,,
63,DNN,Denison Mines,,,,,,,,,,,,,,,,,,,,,,,,
64,DOMO,Domo,,,,,too early,,Technology,Software - Application,,,,,,,,,,,,,,,,
65,DPS,Dr Pepper Snapple Group,36.0,,0,0,,8/4/18,Consumer Defensive,Beverages - Soft Drinks,,,,,,,,,,,,,,,,
66,DYNT,Dynatronics,,,,,,,,,,,,,,,,,,,,,,,,
67,EADSF,Airbus,55.0,4.1,0,0,yes,9/8/19,Industrials,Aerospace & Defense,,,,,,,,,,,,,,,,
68,ECPG,Encore Capital Group,,,,,,,,,,,,,,,,,,,,,,,,
69,EICHERMOT.NS,Eicher Motors Limited,,,,,,,,,,,,,,,,,,,,,,,,
70,ESRX,Express Scripts Holding,38.0,,1,0,,8/4/18,Healthcare,Health Care Plans,,,,,,,,,,,,,,,,
71,ETP,Energy Transfer Partners L.P.,66.0,,1,1,too early,8/4/18,,,,,,,,,,,,,,,,,,
72,EVHC,Envision Healthcare,29.0,,1,0,,8/4/18,Healthcare,Medical Care,,,,,,,,,,,,,,,,
73,EXAS,Exact Sciences Corporation,,,,,,,Healthcare,Diagnostics & Research,,,,,,,,,,,,,,,,
74,EXPR,Express,36.0,,0,0,,8/4/18,Consumer Cyclical,Apparel Stores,,,,,,,,,,,,,,,,
75,FB,Facebook,91.0,,0,1,yes,8/4/18,Technology,Internet Content & Information,,,,,,,,,,,,,,,,
76,FDC,First Data,,,,,,,,,,,,,,,,,,,,,,,,
77,FFIV,F5 Networks,49.0,,0,0,,8/4/18,Technology,Software - Infrastructure,,,,,,,,,,,,,,,,
78,FINL,Finish Line,44.0,,0,0,,8/4/18,,,,,,,,,,,,,,,,,,
79,FISV,Fiserv,49.0,,1,0,,8/4/18,Industrials,Business Services,,,,,,,,,,,,,,,,
80,FIVE,Five Below,36.0,3.0,1,0,yes,9/8/19,Consumer Cyclical,Specialty Retail,,,,,,,,,,,,,,,,
81,FLT,Fleetcor Tech,,,,,,,,,,,,,,,,,,,,,,,,
82,FMCC,Freddie Mac,62.0,,1,0,,8/4/18,Financial Services,Specialty Finance,,,,,,,,,,,,,,,,
83,FSLR,First Solar,48.0,,1,0,,8/4/18,Technology,Solar,,,,,,,,,,,,,,,,
84,FTNT,Fortinet Inc,,,,,,,,,,,,,,,,,,,,,,,,
85,FTR,Frontier Communications,18.0,,1,0,,8/4/18,Communication Services,Telecom Services,,,,,,,,,,,,,,,,
86,GHDX,"Genomic Health, Inc.",,,,,,,Healthcare,Diagnostics & Research,,,,,,,,,,,,,,,,
87,GIII,G-III Apparel Group,,,,,,,,,,,,,,,,,,,,,,,,
88,GL,Global Life - Torchmark,42.0,,1,0,,8/4/18,Financial Services,Insurance - Life,,,,,,,,,,,,,,,,
89,GL,Global Life Inc,42.0,,1,0,yes,8/4/18,Financial Services,Insurance - Life,,,,,,,,,,,,,,,,
90,GLUU,Glu Mobile Inc,,,1,0,,8/4/18,Technology,Electronic Gaming & Multimedia,,,,,,,,,,,,,,,,
91,GME,GameStop,27.0,,1,0,,8/4/18,Consumer Cyclical,Specialty Retail,,,,,,,,,,,,,,,,
92,GNC,GNC Holdings,26.0,,1,0,,8/4/18,Consumer Defensive,Pharmaceutical Retailers,,,,,,,,,,,,,,,,
93,GNW,Genworth Financial,,,,,,,Financial Services,Insurance - Life,,,,,,,,,,,,,,,,
94,GOOG,Alphabet,70.0,4.1,,,yes,9/8/19,Technology,Internet Content & Information,,,,,,,,,,,,,,,,
95,GOOGL,Alphabet (Google) (Class A),83.0,,0,0,yes,8/4/18,Technology,Internet Content & Information,,,,,,,,,,,,,,,,
96,GRUB,GrubHub,70.0,,0,0,yes,8/4/18,Technology,Internet Content & Information,,,,,,,,,,,,,,,,
97,HCLTECH.NS,HCL Technologies Limited,,,,,maybe,,,,,,,,,,,,,,,,,,,
98,HCP,HCP,82.0,,1,0,,8/4/18,Real Estate,REIT - Healthcare Facilities,,,,,,,,,,,,,,,,
99,HDB,HDFC Bank,64.0,,1,0,yes,8/4/18,Financial Services,Banks - Regional - Asia,,,,,,,,,,,,,,,,
100,HINDUNILVR.NS,Hindustan Unilever,,,,,,,,,,,,,,,,,,,,,,,,
101,HLF,Herbalife Nutrition Ltd.,,,,,,,Consumer Defensive,Packaged Foods,,,,,,,,,,,,,,,,
102,HMI,Huami,,,,,,,,,,,,,,,,,,,,,,,,
103,HOLX,Hologic,62.0,,1,0,yes,8/4/18,Healthcare,Medical Instruments & Supplies,,,,,,,,,,,,,,,,
104,HSC,Harsco Corp,,,,,,,,,,,,,,,,,,,,,,,,
105,IBN,ICICI Bank,,,,,,,,,,,,,,,,,,,,,,,,
106,ICON,Iconix Brand Group,,,,,,,,,,,,,,,,,,,,,,,,
107,IDXX,IDEXX Laboratories,54.0,,1,0,,8/4/18,Healthcare,Diagnostics & Research,,,,,,,,,,,,,,,,
108,IHRT,iHeartMedia,31.0,,1,0,,8/4/18,Consumer Cyclical,Broadcasting - Radio,,,,,,,,,,,,,,,,
109,IIVI,II-VI Inc,,,,,,,,,,,,,,,,,,,,,,,,
110,ILMN,Illumina,69.0,,1,0,maybe,8/4/18,Healthcare,Diagnostics & Research,,,,,,,,,,,,,,,,
111,IMB.L,Imperial Brands Plc,,,,,,,,,,,,,,,,,,,,,,,,
112,INCY,Incyte Corporation,,,,,,,,,,,,,,,,,,,,,,,,
113,INDUSINDBK.NS,IndusInd Bank Limited,,,,,,,,,,,,,,,,,,,,,,,,
114,INFN,Infinera Corporation,,,,,,,,,,,,,,,,,,,,,,,,
115,INFY.NS,Infosys Limited,,,,,maybe,,,,,,,,,,,,,,,,,,,
116,INTL,INTL FCStone,,,,,,,Financial Services,Capital Markets,,,,,,,,,,,,,,,,
117,INVA,Innoviva,,,,,,,,,,,,,,,,,,,,,,,,
118,IPGP,IPG Photonics Corp,,,,,,,,,,,,,,,,,,,,,,,,
119,IQV,IQVIA Holdings,55.0,3.5,,,,9/8/19,Healthcare,Diagnostics & Research,,,,,,,,,,,,,,,,
120,IR,Ingersoll-Rand PLC,61.0,,1,0,,8/4/18,Industrials,Diversified Industrials,,,,,,,,,,,,,,,,
121,IRM,Iron Mountain,41.0,,1,0,,8/4/18,Real Estate,REIT - Diversified,,,,,,,,,,,,,,,,
122,ISRG,Intuitive Surgical,94.0,,1,0,yes,8/4/18,Healthcare,Medical Instruments & Supplies,,,,,,,,,,,,,,,,
123,ITC.BO,ITC Limited,,,,,,,,,,,,,,,,,,,,,,,,
124,ITRI,Itron,48.0,,1,0,,8/4/18,Technology,Scientific & Technical Instruments,,,,,,,,,,,,,,,,
125,ITV.L,ITV Plc,,,,,,,,,,,,,,,,,,,,,,,,
126,ITX.MC,Industria de Diseno Textil SA,,,,,,,,,,,,,,,,,,,,,,,,
127,JD,"JD.com, Inc.",53.0,3.6,,,maybe,11/3/20,Consumer Cyclical,Specialty Retail,,,,,,,,,,,,,,,,
128,JE/:LN,Just Eat PLC,,,,,,,,,,,,,,,,,,,,,,,,
129,JEC,Jacobs Engineering Group,48.0,,1,0,,8/4/18,Industrials,Engineering & Construction,,,,,,,,,,,,,,,,
130,JMAT.L,Johnson Matthey Plc,,,,,,,,,,,,,,,,,,,,,,,,
131,JMEI,Jumei International Holding Limited,,,,,,,Consumer Cyclical,Specialty Retail,,,,,,,,,,,,,,,,
132,JMIA,Jumia Technologies,,,,,,,,,,,,,,,,,,,,,,,,
133,JSWSTEEL.NS,JSW Steel Limited,,,,,,,,,,,,,,,,,,,,,,,,
134,KEY.TO,Keyera Corp.,,,,,,,,,,,,,,,,,,,,,,,,
135,KEYS,"Keysight Technologies, Inc.",68.0,3.8,,,,9/8/19,Technology,Scientific & Technical Instruments,,,,,,,,,,,,,,,,
136,KIO.JO,Kumba Iron Ore Limited,,,,,,,,,,,,,,,,,,,,,,,,
137,KMX,CarMax,57.0,,1,0,,8/4/18,Consumer Cyclical,Auto & Truck Dealerships,,,,,,,,,,,,,,,,
138,KOPN,Kopin Corporation,,,,,,,,,,,,,,,,,,,,,,,,
139,KORS,Michael Kors Holdings,40.0,,1,0,,8/4/18,Consumer Cyclical,Apparel Manufacturing,,,,,,,,,,,,,,,,
140,KOTAKBANK.NS,Kotak Mahindra Bank,,,,,,,,,,,,,,,,,,,,,,,,
