ticker,webscrape_date,net_income,ft_employee,div_yield,one_year,three_year,five_year,ten_year,fifteen_year,rd,peg,profit_margin,roa,roe
CRWD,1/1/21,-102,nan,—,324.74,—,—,—,—,187,28.2,-13.4,-6.79,-13.33
CSGP,1/1/21,279,nan,—,54.48,46.01,34.93,32,22.66,158,3.1,17.57,5.31,6.48
CYH,1/1/21,-173,nan,—,156.21,20.37,-16.5,-11.5,-7.98,—,0,nan,nan,nan
DASH,1/1/21,-283,nan,—,—,—,—,—,—,146,0,nan,nan,nan
DDOG,1/1/21,-7,nan,—,160.56,—,—,—,—,179,0,-1.39,-0.53,-0.88
DF,1/1/21,-15,nan,nan,nan,nan,nan,nan,nan,—,0,nan,nan,nan
DISCK,1/1/21,1424,nan,—,-14.1,7.35,0.76,3.62,—,—,1,10.06,3.24,10.94
DNN,1/1/21,-15,nan,—,55.9,5.56,5.37,-15.34,-13.82,—,0,-102.81,-4.98,-7.11
DOMO,1/1/21,-95,nan,—,193.6,—,—,—,—,67,0,nan,nan,nan
DYNT,1/1/21,-4,nan,—,-2.42,-34.51,-22.83,-12.7,-13.55,—,0,-9.81,-12.17,-47.88
EADSF,1/1/21,-6234,nan,—,-22.93,5.18,11.53,18.02,—,3240,0,-11.44,-5.48,-187.74
ECPG,1/1/21,218,nan,—,10.15,-2.56,6.02,5.21,5.54,—,0.2,14.84,4.61,21.28
EXAS,1/1/21,-334,nan,—,43.26,36.11,70.37,36.32,31.38,151,0,-25.27,-10.92,-21.63
EXPR,1/1/21,-494,nan,—,-81.31,-55.24,-44.5,-26.13,—,—,0,-35.66,-26.34,-161.94
FB,1/1/21,25276,nan,—,33.09,15.68,21.15,—,—,17118,0.9,32.01,18.66,23.88
FFIV,1/1/21,307,nan,—,25.99,10.27,12.66,3.06,12.88,441,1,13.08,7.62,15.4
FISV,1/1/21,905,nan,—,-1.53,20.2,20.01,22.77,16.99,—,1.3,6.01,1.2,2.81
FIVE,1/1/21,110,nan,—,36.85,38.18,40.38,—,—,—,1.9,6.13,5.48,15.74
FLT,1/1/21,730,nan,—,-5.18,12.34,13.8,24.33,—,—,1.2,29.54,6.34,21.35
FMCC,1/1/21,7005,nan,—,-22.43,-2.58,7.54,22.56,-14.27,—,0,nan,nan,nan
FSLR,1/1/21,223,nan,—,76.77,13.58,8.43,-2.71,—,96,1.1,6.38,3.18,4.22
FTNT,1/1/21,455,nan,—,39.13,50.36,36.65,24.82,—,324,2.4,18.51,12.75,47.53
GIII,1/1/21,34,nan,—,-29.13,-13.66,-11.71,3.05,11.59,—,0,1.5,1.27,2.66
GL,1/1/21,715,nan,—,-9.08,2.26,11.42,14.21,9.87,—,0,15.38,2.65,9.2
GL,1/1/21,715,nan,—,-9.08,2.26,11.42,14.21,9.87,—,0,15.38,2.65,9.2
GLUU,1/1/21,7,nan,—,48.93,35.27,29.96,15.84,—,115,1.1,1.44,1.41,2.55
GME,1/1/21,-275,nan,—,209.87,4.93,-3.27,2.18,3.94,—,0,-5.32,-9.56,-57.9
GNW,1/1/21,-106,nan,—,-14.09,6.72,0.27,-11.71,-12.26,—,0,-1.26,-0.1,-0.73
GOOG,1/1/21,35713,nan,—,31.03,18.74,18.21,—,—,27773,1.5,20.8,12.7,17.51
GOOGL,1/1/21,35713,nan,—,30.85,18.49,17.64,14.58,12.15,27773,1.5,20.8,12.7,17.51
GRUB,1/1/21,-116,nan,—,52.69,1.13,25.14,—,—,—,13.2,-6.99,-4.83,-7.81
HDB,1/1/21,282856,nan,—,14.03,12.8,18.98,16.07,19.58,—,0,33.91,1.88,15.75
HLF,1/1/21,356,nan,—,0.8,12.37,12.38,11.28,12.95,—,0,nan,nan,nan
HMI,1/1/21,321,nan,—,-1.41,—,—,—,—,549,0,4.88,5.72,12.92
HOLX,1/1/21,1115,nan,—,39.49,19.43,13.49,14.49,9.39,223,0.5,29.53,16.35,46.27
HSC,1/1/21,19,nan,—,-21.86,-1.21,18,-2.44,-1.75,4,2.3,1.09,0.7,2.7
IBN,1/1/21,139214,nan,—,-1.52,15.35,16.29,5.52,7.81,—,0,12.53,1.01,10.57
ICON,1/1/21,-88,nan,—,-6.67,-53.95,-55,-39.54,-25.39,—,0,nan,nan,nan
IDXX,1/1/21,497,nan,—,91.43,47.31,46.96,30.61,24.81,138,6.1,19.2,26.19,154.74
IHRT,1/1/21,101,nan,—,-23.2,—,—,—,—,—,4.6,nan,nan,nan
IIVI,1/1/21,5,nan,—,125.6,17.4,32.56,12.6,15.34,381,0,-0.04,-0.02,-0.05
ILMN,1/1/21,638,nan,—,11.53,19.19,14.03,19.3,30.22,644,2.4,19.7,8.8,13.96
INCY,1/1/21,-335,nan,—,-0.39,-2.8,-4.32,18.04,20.45,2123,0.9,-13.62,-10.26,-13.9
