ticker,security,outlook,rating,use,trust,upward_trend,outlook_date,sector,industry
BITA,Bitauto Holdings Limited,,,,,,,Consumer Cyclical,Advertising Agencies
EADSF,Airbus,55,4.1,0,0,yes,9/8/19,Industrials,Aerospace & Defense
LLL,L3 Technologies,42,,1,0,,8/4/18,Industrials,Aerospace & Defense
TDG,TransDigm Group,10,1.8,1,0,maybe,9/8/19,Industrials,Aerospace & Defense
KORS,Michael Kors Holdings,40,,1,0,,8/4/18,Consumer Cyclical,Apparel Manufacturing
ASNA,Ascena Retail Group,,,,,,,Consumer Cyclical,Apparel Stores
EXPR,Express,36,,0,0,,8/4/18,Consumer Cyclical,Apparel Stores
LULU,Lululemon Athletica Inc.,,,,,,,Consumer Cyclical,Apparel Stores
NXP,Nuveen Select Tax-Free Income Portfolio,,,,,,9/8/19,Financial Services,Asset Management
ABG,Asbury Automotive Group,60,3.8,1,0,maybe,9/8/19,Consumer Cyclical,Auto & Truck Dealerships
KMX,CarMax,57,,1,0,,8/4/18,Consumer Cyclical,Auto & Truck Dealerships
TSLA,Tesla,56,3.6,1,0,pass,11/3/20,Consumer Cyclical,Auto Manufacturers
AXL,American Axle & Manufacturing,,,,,,,Consumer Cyclical,Auto Parts
SRI,"Stoneridge, Inc.",,,,,,,Consumer Cyclical,Auto Parts
TEN,Tenneco,,,,,,,Consumer Cyclical,Auto Parts
VC,Visteon,34,,1,0,,8/4/18,Consumer Cyclical,Auto Parts
HDB,HDFC Bank,64,,1,0,yes,8/4/18,Financial Services,Banks - Regional - Asia
STI,SunTrust Banks,,,1,0,,8/4/18,Financial Services,Banks - Regional - US
DPS,Dr Pepper Snapple Group,36,,0,0,,8/4/18,Consumer Defensive,Beverages - Soft Drinks
MNST,Monster Beverage,63,,0,0,yes,8/4/18,Consumer Defensive,Beverages - Soft Drinks
BF-B,Brown-Forman,83,,1,0,yes,8/4/18,Consumer Defensive,Beverages - Wineries & Distilleries
ALXN,Alexion Pharmaceuticals,33,,1,0,,8/4/18,Healthcare,Biotechnology
MACK,"Merrimack Pharmaceuticals, Inc.",,,,,,,Healthcare,Biotechnology
MGNX,"MacroGenics, Inc.",,,,,,,Healthcare,Biotechnology
PGNX,"Progenics Pharmaceuticals, Inc.",,,,,,,Healthcare,Biotechnology
REGN,Regeneron Pharmaceuticals,70,,1,0,,8/4/18,Healthcare,Biotechnology
SGEN,"Seattle Genetics, Inc.",90,4.1,,,,11/3/20,Healthcare,Biotechnology
SPPI,"Spectrum Pharmaceuticals, Inc.",,,,,,,Healthcare,Biotechnology
UBX,Unity Biotechnology,,,,,,,Healthcare,Biotechnology
IHRT,iHeartMedia,31,,1,0,,8/4/18,Consumer Cyclical,Broadcasting - Radio
LSXMA,Liberty Media,,,,,,,Consumer Cyclical,Broadcasting - Radio
BECN,Beacon Roofing Supply,,,,,,,Basic Materials,Building Materials
BLDR,Builders FirstSource,,,,,,,Basic Materials,Building Materials
FISV,Fiserv,49,,1,0,,8/4/18,Industrials,Business Services
AMTD,TD Ameritrade Holding,57,,0,0,maybe,8/4/18,Financial Services,Capital Markets
INTL,INTL FCStone,,,,,,,Financial Services,Capital Markets
UNVR,Univar,,,,,,,Basic Materials,Chemicals
SWIR,"Sierra Wireless, Inc.",,,,,,,Technology,Communication Equipment
TECD,Tech Data,56,3.3,,,maybe,9/8/19,Technology,Computer Distribution
SSYS,Stratasys Ltd,,,,,,,Technology,Computer Systems
CACC,Credit Acceptance,64,3.8,1,0,yes,9/8/19,Financial Services,Credit Services
PYPL,PayPal Holdings,80,4.1,0,0,yes,2/27/21,Financial Services,Credit Services
EXAS,Exact Sciences Corporation,,,,,,,Healthcare,Diagnostics & Research
GHDX,"Genomic Health, Inc.",,,,,,,Healthcare,Diagnostics & Research
IDXX,IDEXX Laboratories,72,3.8,1,0,,8/4/18,Healthcare,Diagnostics & Research
ILMN,Illumina,69,,1,0,maybe,8/4/18,Healthcare,Diagnostics & Research
